tanggal,id_komoditas,id_pasar,harga,nama_komoditas,satuan
2022-01-25,15,1,20000,Telur Ayam Ras,kg
2022-01-25,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-25,22,1,3000,Mie Instan,bungkus
2022-01-25,23,1,26000,Bawang Putih Honan,kg
2022-01-25,24,1,28000,Bawang Putih Kating,kg
2022-01-25,26,1,12000,Susu Kental Manis,kg
2022-01-25,29,1,65000,Daging Ayam Kampung,kg
2022-01-25,30,1,42000,Telur Ayam Kampung,kg
2022-01-26,1,1,9000,Beras Medium,kg
2022-01-26,2,1,10000,Beras Premium,kg
2022-01-26,3,1,30000,Cabai Merah Keriting,kg
2022-01-26,4,1,28000,Cabai Merah Besar,kg
2022-01-26,5,1,30000,Cabai Rawit Merah,kg
2022-01-26,6,1,30000,Cabai Rawit Hijau,kg
2022-01-26,7,1,21000,Bawang Merah,kg
2022-01-26,13,1,11000,Tepung Terigu,kg
2022-01-26,14,1,38000,Daging Ayam Ras,kg
2022-01-26,15,1,20000,Telur Ayam Ras,kg
2022-01-26,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-26,22,1,3000,Mie Instan,bungkus
2022-01-26,23,1,26000,Bawang Putih Honan,kg
2022-01-26,24,1,28000,Bawang Putih Kating,kg
2022-01-26,26,1,12000,Susu Kental Manis,kg
2022-01-26,29,1,65000,Daging Ayam Kampung,kg
2022-01-26,30,1,42000,Telur Ayam Kampung,kg
2022-01-27,1,1,9000,Beras Medium,kg
2022-01-27,2,1,10000,Beras Premium,kg
2022-01-27,3,1,30000,Cabai Merah Keriting,kg
2022-01-27,4,1,28000,Cabai Merah Besar,kg
2022-01-27,5,1,30000,Cabai Rawit Merah,kg
2022-01-27,6,1,30000,Cabai Rawit Hijau,kg
2022-01-27,7,1,21000,Bawang Merah,kg
2022-01-27,13,1,11000,Tepung Terigu,kg
2022-01-27,14,1,38000,Daging Ayam Ras,kg
2022-01-27,15,1,20000,Telur Ayam Ras,kg
2022-01-27,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-27,22,1,3000,Mie Instan,bungkus
2022-01-27,23,1,26000,Bawang Putih Honan,kg
2022-01-27,24,1,28000,Bawang Putih Kating,kg
2022-01-27,26,1,12000,Susu Kental Manis,kg
2022-01-27,29,1,65000,Daging Ayam Kampung,kg
2022-01-27,30,1,42000,Telur Ayam Kampung,kg
2022-01-28,1,1,9000,Beras Medium,kg
2022-01-28,2,1,10000,Beras Premium,kg
2022-01-28,3,1,30000,Cabai Merah Keriting,kg
2022-01-28,4,1,28000,Cabai Merah Besar,kg
2022-01-28,5,1,30000,Cabai Rawit Merah,kg
2022-01-28,6,1,30000,Cabai Rawit Hijau,kg
2022-01-28,7,1,21000,Bawang Merah,kg
2022-01-28,13,1,11000,Tepung Terigu,kg
2022-01-28,14,1,38000,Daging Ayam Ras,kg
2022-01-28,15,1,20000,Telur Ayam Ras,kg
2022-01-28,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-28,22,1,3000,Mie Instan,bungkus
2022-01-28,23,1,26000,Bawang Putih Honan,kg
2022-01-28,24,1,28000,Bawang Putih Kating,kg
2022-01-28,26,1,12000,Susu Kental Manis,kg
2022-01-28,29,1,65000,Daging Ayam Kampung,kg
2022-01-28,30,1,42000,Telur Ayam Kampung,kg
2022-01-31,1,1,9000,Beras Medium,kg
2022-01-31,2,1,10000,Beras Premium,kg
2022-01-31,3,1,25000,Cabai Merah Keriting,kg
2022-01-31,4,1,24000,Cabai Merah Besar,kg
2022-01-31,5,1,25000,Cabai Rawit Merah,kg
2022-01-31,6,1,25000,Cabai Rawit Hijau,kg
2022-01-31,7,1,20000,Bawang Merah,kg
2022-01-31,13,1,11000,Tepung Terigu,kg
2022-01-31,14,1,38000,Daging Ayam Ras,kg
2022-01-31,15,1,20000,Telur Ayam Ras,kg
2022-01-31,16,1,110000,Daging Sapi Paha Belakang,kg
2022-01-31,22,1,3000,Mie Instan,bungkus
2022-01-31,23,1,24000,Bawang Putih Honan,kg
2022-01-31,24,1,28000,Bawang Putih Kating,kg
2022-01-31,26,1,12000,Susu Kental Manis,kg
2022-01-31,29,1,65000,Daging Ayam Kampung,kg
2022-01-31,30,1,42000,Telur Ayam Kampung,kg
2022-02-01,1,1,0,Beras Medium,kg
2022-02-01,2,1,0,Beras Premium,kg
2022-02-01,3,1,0,Cabai Merah Keriting,kg
2022-02-01,4,1,0,Cabai Merah Besar,kg
2022-02-01,5,1,0,Cabai Rawit Merah,kg
2022-02-01,6,1,0,Cabai Rawit Hijau,kg
2022-02-01,7,1,0,Bawang Merah,kg
